name,address,industry,hourly_median_gender_gap_2018,bonus_median_gender_gap_2018
5 HERTFORD STREET LIMITED,"10,+Norwich+Street,London,EC4A+1BD",Other business support service activities n.e.c.,-13.0,-18.0
ABELLIO EAST ANGLIA LIMITED,"2nd,+Floor+St+Andrew's+House,18-20+St+Andrew+Street,London,United+Kingdom,EC4A+3AG","Passenger rail transport, interurban",21.8,-66.7
ACCENTURE (UK) LIMITED,"30+Fenchurch+Street,London,United+Kingdom,EC3M+3BD",Management consultancy activities other than financial management,10.2,33.4
ADECCO UK LIMITED,"Millennium+Bridge+House,2+Lambeth+Hill,London,United+Kingdom,EC4V+4BG",Temporary employment agency activities,-3.2,-67.0
AETNA GLOBAL BENEFITS (UK) LIMITED,"50+Cannon+Street,London,England,EC4N+6JJ",Non-life insurance,30.0,47.2
AG SERVICE COMPANY LIMITED,"Milton+Gate,60+Chiswell+Street,London,United+Kingdom,EC1Y+4AG",Other business support service activities n.e.c.,16.4,33.3
AIG EUROPE LIMITED,"The+Aig+Building,+58+Fenchurch+Street,London,EC3M+4AB",Non-life insurance,34.0,53.0
ALEXANDER MANN SOLUTIONS LIMITED,"7+Bishopsgate,London,United+Kingdom,EC2N+3AQ",Human resources provision and management of human resources functions,10.8,28.5
ALFA FINANCIAL SOFTWARE LIMITED,"Moor+Place,+1+Fore+Street+Avenue,London,United+Kingdom,EC2Y+9DT",Information technology consultancy activities,15.0,16.3
ALLIANZ GLOBAL CORPORATE & SPECIALTY AG,"Allianz+House+60+Gracechurch+Street,,London,EC3V+0HR",,39.5,46.4
"ALLIANZ GLOBAL INVESTORS GMBH, UK BRANCH","199,+Bishopsgate,London,EC2M+3TY",,31.0,54.0
ALZHEIMER'S SOCIETY,"43-44,+Crutched+Friars,London,England,EC3N+2AE",,17.2,0.0
ANGARD STAFFING SOLUTIONS LIMITED,"100,+Victoria+Embankment,London,EC4Y+0HQ",Temporary employment agency activities,2.5,0.0
ANTALIS LIMITED,"100,+New+Bridge+Street,London,EC4V+6JA",Activities of head offices,1.5,-107.4
AON HEWITT LIMITED,"The+Aon+Centre+The+Leadenhall+Building,122+Leadenhall+Street,London,United+Kingdom,EC3V+4AN",Management consultancy activities other than financial management,33.7,70.8
AON UK LIMITED,"The+Aon+Centre+The+Leadenhall+Building,122+Leadenhall+Street,London,United+Kingdom,EC3V+4AN",Activities of insurance agents and brokers,31.8,52.3
APPLE (UK) LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Other information technology service activities,24.0,57.0
APPLE EUROPE LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Other business support service activities n.e.c.,14.0,35.0
APPLE RETAIL UK LIMITED,"5th+Floor+6+St+Andrew+Street,London,United+Kingdom,EC4A+3AE",Other business support service activities n.e.c.,5.0,16.0
ARTHUR J. GALLAGHER SERVICES (UK) LIMITED,"The+Walbrook+Building,25+Walbrook,London,United+Kingdom,EC4N+8AW",Human resources provision and management of human resources functions,38.4,67.3
ASHTEAD PLANT HIRE COMPANY LIMITED,"100,+Cheapside,London,England,EC2V+6DT",Renting and leasing of construction and civil engineering machinery and equipment,-1.7,29.6
ASPEN HEALTHCARE LIMITED,"Centurion+House+3rd+Floor,37+Jewry+Street,London,United+Kingdom,EC3N+2ER",Hospital activities,-1.8,-12.8
ASPEN INSURANCE UK SERVICES LIMITED,"30+Fenchurch+Street,London,United+Kingdom,EC3M+3BD",Human resources provision and management of human resources functions,19.9,45.6
ASSOCIATED CONTINUITY TEAMS LIMITED,"25+Moorgate,London,United+Kingdom,EC2R+6AY",Other service activities n.e.c.,0.0,-27.4
Association of Accounting Technicians,"140+Aldersgate+Street,London,EC1A+4HY",,13.0,0.0
AURORA CARE AND EDUCATION HOLDINGS LIMITED,"C/O+The+Aurora+Group,33+Holborn,London,United+Kingdom,EC1N+2HT",Other education n.e.c.,0.0,0.0
AVANADE UK LIMITED,"30+Cannon+Street,London,England,EC4M+6XH",Information technology consultancy activities,10.8,15.0
