name,top_1,top_2,top_3,bottom_1,bottom_2,bottom_3,mean_wage_gap_2016,mean_wage_gap_change,higher_than_2016_national_average,rank_2016,frac_top_1,frac_top_2,frac_top_3,frac_bottom_1,frac_bottom_2,frac_bottom_3
Kensington and Chelsea,CHRISTIAN DIOR UK LIMITED,HARRODS LIMITED,ASPERS (STRATFORD CITY) LIMITED,National Heritage Memorial Fund,HARRODS AVIATION LIMITED,Chelsea & Westminster Healthcare N H S Trust,3.017394391196308,2.273175784242292,False,1.0,0.416666666666666,0.8571428571428571,0.33333333333333304,-1.0,0.928571428571428,-1.0
Havering,TILDA LIMITED,TOWER BRIDGE HOMES CARE LIMITED,RANC CARE HOMES LIMITED,ARCUS SOLUTIONS LIMITED,Havering Sixth Form College,Havering College,3.4593861285399505,19.637959004203417,True,2.0,0.583333333333333,-1.0,1.0,0.954545454545454,-1.0,-1.0
Merton,United Response,HFH HEALTHCARE LIMITED,TENPIN LIMITED,BOUX AVENUE LIMITED,IGLU.COM LIMITED,AECOM LIMITED,6.147683733890643,22.794115207908288,True,3.0,-1.0,1.0,0.894736842105263,0.75,0.842105263157894,0.833333333333333
Lewisham,ELEANOR NURSING AND SOCIAL CARE LIMITED,Cis Security Ltd,MILLWALL HOLDINGS PLC,Haberdashers' Aske's Federation Trust,Lewisham And Greenwich Nhs Trust,LONDON & QUADRANT HOUSING TRUST LIMITED,6.613584660383482,-2.7095132716495147,False,4.0,0.777777777777777,-1.0,0.8,-1.0,-1.0,-1.0
Greenwich,Royal Borough of Greenwich,GREENWICH LEISURE LTD,The National Maritime Museum,ANSCHUTZ SPORTS HOLDINGS LTD.,COLLINS RIVER ENTERPRISES LIMITED,GSM LONDON LIMITED,6.7322367305409605,9.185075930957753,True,5.0,-1.0,-1.0,-1.0,0.833333333333333,1.0,0.7333333333333331
Hackney,WARD SECURITY LIMITED,WARD SECURITY HOLDINGS LIMITED,GROCERY DELIVERY E-SERVICES UK LTD.,AMAZON VIDEO LIMITED,Shearman & Sterling LLP,CLOSE ASSET MANAGEMENT HOLDINGS LIMITED,7.394587791063563,7.848900317656713,False,6.0,0.875,0.9090909090909091,1.0,0.9,-1.0,0.8888888888888881
Lambeth,SPORTING INDEX LIMITED,JOY GROUP LTD,Health and Care Professions Council,MARK ALLEN HOLDINGS LIMITED,The National Crime Agency,NURSING 2000 LIMITED,9.882247726933963,12.198289185817714,True,7.0,0.842105263157894,0.75,-1.0,0.833333333333333,-1.0,-1.0
Brent,ENOTRIA WINECELLARS LIMITED,DIAGEO GREAT BRITAIN LIMITED,KFG QUICKSERVE LIMITED,GENESIS HOUSING ASSOCIATION LIMITED,Danny Sullivan & Sons Ltd.,CLESHAR CONTRACT SERVICES LIMITED,12.743801652892563,7.4827355639359165,False,8.0,0.76,0.807692307692307,0.833333333333333,-1.0,-1.0,0.642857142857142
Bromley,St. Christophers Hospice,MANOR RESTAURANTS (UK) LIMITED,ANCASTER GROUP LIMITED,Charles Darwin Academy Trust,The Pioneer Academy,The Kemnal Academies Trust,14.565826330532207,7.582634743698321,False,9.0,-1.0,1.0,0.8,-1.0,-1.0,-1.0
Southwark,XENON SERVICES LIMITED,CYCLE TRAINING UK LIMITED,James Allen's Girls' School,Dulwich College,ALLEYN'S SCHOOL,Dulwich Preparatory Schools Trust,14.885034288019366,9.27177692529645,True,10.0,0.33333333333333304,0.954545454545454,-1.0,-1.0,0.7272727272727271,-1.0
